name,mass,massRound,year,reclat,reclong
Isoulane-n-Amahar,72000,5,1945,27.12917,8.66722
Mafuta,71500,5,1984,-16.9025,30.40722
Merua,71400,5,1920,25.48333,81.98333
Portales Valley,71400,5,1998,34.175,-103.295
Sierra Colorada,71300,5,1995,-40.8,-67.48333
Tlacotepec,71000,5,1903,18.65,-97.55
Wooramel,71000,5,1969,-25.65,114.21667
Smithville,70500,5,1840,35.98333,-85.85
Mahadevpur,70500,5,2007,27.66667,95.78333
Peña Blanca Spring,70000,5,1946,30.125,-103.11667
Lahmada 009,70000,5,1999,27.16667,-9.5
Smithonia,69900,5,1940,34,-83.16667
Landes,69800,5,1930,38.9,-79.18333
Xinyi,69000,5,1975,34.36667,118.33333
Wu-chu-mu-ch'in,68860,5,1920,45.5,118
Burlington,68000,5,1819,42.75,-75.18333
Marlow,68000,5,1936,34.6,-97.91667
Hamilton (Queensland),68000,5,1966,-28.48333,148.25
Soledade,68000,5,1986,-29.05,-51.43333
Springwater,67600,5,1931,52,-108.3
Rahimyar Khan,67225,5,1983,28.225,70.2
Pervomaisky,66000,5,1933,56.63333,39.43333
Timochin,65500,5,1807,54.5,35.2
Sychevka,65000,5,1988,51.125,127.495
Bocaiuva,64000,5,1965,-17.16667,-43.83333
Signal Mountain,63500,5,1919,32.5,-115.5
Treysa,63000,5,1916,50.91667,9.18333
Santa Clara,63000,5,1976,24.46667,-103.35
Derrick Peak 88017,63000,5,1988,-80.06667,156.38333
Tanezrouft 072,62285,5,2002,24.43817,0.103
Thunda,62100,5,1881,-25.7,143.05
Covert,61000,5,1896,39.2,-98.78333
Gold Basin,61000,5,1995,35.875,-114.23333
Hex River Mountains,60000,5,1882,-33.31667,19.61667
Savannah,60000,5,1923,35.16667,-88.18333
Nicolás Levalle,60000,5,1956,-38.85028,-62.87889
Yongning,60000,5,1971,22.75,108.33333
Derrick Peak A78008,59400,5,1978,-80.06667,156.38333
Bohumilitz,59000,5,1829,49.05,13.76667
Piedade do Bagre,59000,5,1922,-18.94167,-44.98333
Łowicz,59000,5,1935,52,19.91667
Quijingue,59000,5,1984,-10.75,-39.21667
Guadalupe y Calvo,58630,5,1971,26.1,-106.96667
Aliskerovo,58400,5,1977,67.88333,167.5
Ivanpah,58000,5,1880,35.33333,-115.31667
Phillips County (stone),57900,5,1901,40,-99.25
Julesburg,57900,5,1983,39.975,-102.26667
Miami,57700,5,1930,35.66667,-100.6
